,Team Name,Year,Assists Per Game,Turnovers Per Game,Personal Fouls Per Game,Steals Per Game,Free-Throw Percentage,Field-Goal Percentage,Three-Point Field-Goal Percentage,Turnover Margin,Blocked Shots Per Game,Scoring Margin,Won-Lost Percentage,Three Pt FG Defense,Scoring Offense,Scoring Defense,Three-Point Field Goals Per Game,Rebound Margin,Field-Goal Percentage Defense,Qualified,adaPredictions
459,Oregon St.,2016,13.5,11.3,8,7.4,67.1,44.0,37.1,2.2,3.3,1.8,59.4,32.5,71.9,70.1,6.8,-2.5,42.8,No,No
460,Oregon St.,2017,11.9,15.3,11,5.5,66.1,42.8,34.6,-3.6,3.7,-9.4,15.6,35.9,63.2,72.5,6.3,-2.8,44.5,No,No
461,Oregon St.,2018,14.8,13.3,15,6.6,70.8,46.7,32.9,-0.5,3.6,2.8,50.0,34.8,73.1,70.3,6.0,2.8,43.2,No,No
462,Oregon St.,2011,12.1,15.2,9,9.5,68.1,42.7,30.4,1.0,2.2,-3.5,35.5,37.4,69.3,72.8,5.2,-0.2,46.1,No,No
463,Oregon St.,2012,15.8,14.1,9,9.1,67.7,47.5,35.9,2.5,4.6,6.2,58.3,38.8,78.9,72.7,6.1,0.2,45.5,No,No
464,Oregon St.,2013,14.3,13.5,8,6.3,67.0,44.7,36.4,-1.3,4.6,1.8,43.8,34.4,72.0,70.3,5.8,1.6,43.1,No,No
465,Oregon St.,2015,12.0,11.8,15,7.8,69.3,42.2,32.3,2.9,4.0,1.7,54.8,30.2,60.9,59.2,5.2,-2.3,38.6,No,No
466,Campbell,2016,11.5,11.8,11,7.1,71.7,44.5,33.2,1.7,2.4,0.1,40.0,36.8,73.6,73.4,7.5,-4.7,45.8,No,No
467,Campbell,2017,11.7,12.9,10,6.6,75.1,45.6,36.8,-0.9,4.0,1.3,51.4,33.7,71.7,70.4,7.9,-0.9,43.6,No,No
468,Campbell,2018,14.2,11.9,10,6.7,75.0,47.7,38.8,0.7,4.0,5.0,52.9,33.9,75.9,70.9,9.2,-1.9,44.5,No,No
469,Campbell,2012,15.5,14.2,23,6.1,66.9,48.4,37.4,-1.8,5.2,0.3,53.1,32.4,74.1,73.8,5.3,1.2,43.1,No,No
470,Campbell,2015,13.1,12.6,9,7.1,62.5,42.6,35.6,-0.3,2.9,-2.5,31.3,34.5,63.9,66.4,8.2,-2.1,45.7,No,No
471,Northern Ky.,2017,13.9,13.4,11,5.7,68.0,45.6,34.9,-1.2,2.8,4.3,68.6,32.5,76.0,71.6,8.6,4.4,44.0,No,No
472,Northern Ky.,2018,16.3,12.4,11,7.4,73.1,47.5,34.1,1.8,3.2,11.7,68.8,31.0,77.7,66.0,8.1,3.6,40.8,No,No
473,West Virginia,2016,14.6,14.2,18,9.8,67.3,44.9,32.5,3.6,2.7,11.8,74.3,33.1,78.5,66.7,6.0,8.6,42.4,Yes,Yes
474,West Virginia,2017,16.4,12.3,4,10.0,68.5,45.4,36.2,7.7,4.8,14.8,75.7,35.3,81.5,66.7,7.4,3.0,42.4,Yes,Yes
475,West Virginia,2018,15.2,11.4,13,8.1,76.6,43.6,35.3,5.1,5.2,10.5,70.3,38.0,80.1,69.6,8.7,3.6,42.6,No,No
476,West Virginia,2010,15.5,11.9,15,5.6,70.4,43.0,33.7,1.5,4.1,8.9,81.6,32.4,72.4,63.5,6.8,6.4,41.7,Yes,Yes
477,West Virginia,2011,14.9,12.0,14,4.7,71.1,42.9,33.7,-0.1,4.1,5.1,63.6,29.1,69.8,64.7,6.2,3.4,41.2,Yes,Yes
478,West Virginia,2012,14.5,12.8,9,6.4,67.1,43.8,29.8,0.7,2.6,4.6,57.6,32.3,71.1,66.5,5.3,6.5,44.9,Yes,Yes
479,West Virginia,2013,12.4,13.0,12,7.3,69.5,40.8,31.6,1.3,3.7,-1.9,40.6,38.1,66.1,68.1,5.3,1.2,44.8,No,No
480,West Virginia,2015,14.1,12.9,23,10.7,66.2,40.8,31.6,6.4,2.7,5.8,71.4,36.5,72.6,66.8,6.5,2.9,46.9,Yes,Yes
481,Missouri,2016,11.7,12.5,15,5.5,70.8,42.2,31.0,-1.4,2.6,-4.4,32.3,33.6,68.6,73.0,5.6,-1.4,42.4,No,No
482,Missouri,2017,12.1,12.0,20,6.3,68.3,39.3,30.4,1.7,2.1,-3.8,25.0,34.4,69.2,72.9,7.0,-2.9,42.8,No,No
483,Missouri,2018,13.4,14.2,22,5.2,73.4,45.0,38.3,-3.1,4.2,4.6,60.6,32.8,72.7,68.1,9.3,4.3,40.8,Yes,Yes
484,Missouri,2010,15.4,12.7,8,10.9,72.4,44.0,36.8,6.7,4.7,11.0,67.6,31.7,77.3,66.2,7.6,-2.9,41.0,Yes,Yes
485,Missouri,2011,16.4,12.7,15,9.7,73.9,45.8,36.6,5.4,5.0,9.2,67.6,34.1,80.8,71.6,7.2,-2.0,43.8,Yes,Yes
486,Missouri,2012,16.2,10.2,11,8.1,76.6,50.4,39.8,4.1,2.8,14.1,85.7,36.8,80.4,66.3,8.4,0.3,44.4,Yes,Yes
487,Missouri,2013,13.9,13.0,6,6.7,74.4,45.9,33.9,-0.9,3.5,9.4,67.6,33.2,76.1,66.7,6.3,8.6,40.3,Yes,Yes
488,Missouri,2015,10.7,13.0,11,5.6,66.6,40.3,32.9,-2.0,2.8,-7.4,28.1,34.3,60.5,67.9,6.1,-2.5,42.9,No,No
489,Radford,2016,13.2,13.4,9,5.9,65.1,44.8,34.3,-1.6,4.5,0.6,51.6,32.9,73.1,72.5,7.3,3.1,44.9,No,No
490,Radford,2017,12.3,14.7,6,4.8,66.6,41.3,34.5,-4.5,3.6,-4.9,43.8,35.7,65.3,70.2,7.7,4.7,44.6,No,No
491,Radford,2018,12.3,12.3,8,6.3,72.5,42.5,34.9,0.8,2.9,2.4,63.9,35.0,67.3,64.9,7.7,3.1,43.2,Yes,Yes
492,Radford,2012,10.8,13.9,12,7.3,63.7,38.4,30.7,1.2,2.5,-7.4,18.8,36.4,61.2,68.6,6.3,-3.6,44.8,No,No
493,Radford,2013,11.9,13.5,11,8.6,64.8,39.7,31.4,2.0,3.7,-1.3,40.6,36.3,66.8,68.1,6.1,-0.5,43.9,No,No
494,Radford,2015,13.2,12.0,7,7.1,69.1,45.8,33.4,0.7,4.4,5.1,64.7,33.3,72.8,67.7,6.2,2.9,42.8,No,No
495,Delaware St.,2016,11.5,13.9,14,5.4,61.6,39.1,33.0,-0.7,2.9,-11.1,21.9,32.2,61.9,73.0,7.2,-7.8,43.4,No,No
496,Delaware St.,2017,13.4,13.6,14,5.5,65.9,41.9,36.2,0.6,2.8,-6.7,31.3,35.0,68.3,75.0,8.2,-5.5,44.6,No,No
497,Delaware St.,2018,10.9,15.3,7,5.9,69.4,41.7,32.5,-2.5,2.6,-13.3,12.5,38.5,63.6,76.8,6.0,-2.4,46.4,No,No
498,Delaware St.,2010,10.3,11.4,5,8.2,67.7,40.9,32.7,5.7,2.4,0.2,58.6,38.2,58.5,58.3,5.0,-3.6,47.8,No,No
499,Delaware St.,2011,11.6,11.2,5,8.4,71.4,42.8,34.7,4.3,3.6,-3.1,30.0,36.3,62.5,65.6,6.9,-9.7,49.2,No,No
500,Delaware St.,2012,11.8,10.3,11,7.9,70.1,43.5,35.0,3.7,6.6,1.7,51.7,32.7,66.1,64.4,6.2,-6.8,43.0,No,No
501,Delaware St.,2013,9.9,13.7,16,6.9,69.0,41.0,29.5,0.0,5.6,-2.9,45.5,32.5,60.5,63.5,5.5,-2.6,43.5,No,No
502,Delaware St.,2015,11.9,13.4,12,5.0,70.7,41.8,35.3,-1.9,3.9,-2.1,50.0,33.2,70.4,72.4,7.8,1.0,42.4,No,No
503,Ole Miss,2016,12.9,12.1,15,7.6,70.9,41.6,33.8,2.2,3.1,3.1,62.5,35.5,75.2,72.1,7.9,2.1,42.8,No,No
504,Ole Miss,2017,13.0,14.3,14,6.8,75.2,42.3,34.7,-0.4,4.2,1.7,61.1,36.3,78.0,76.3,7.9,3.2,42.5,No,No
505,Ole Miss,2018,14.6,11.4,18,6.3,73.0,42.1,31.9,1.0,4.1,-2.3,37.5,37.8,75.8,78.1,7.8,-0.5,44.1,No,No
506,Ole Miss,2011,12.2,12.8,21,5.3,75.6,44.2,35.1,0.2,5.3,4.8,58.8,34.9,73.9,69.1,7.6,2.5,42.5,No,No
507,Ole Miss,2013,12.5,11.4,15,8.3,67.8,43.8,32.4,4.0,5.1,10.3,75.0,31.3,77.2,66.9,6.6,1.4,40.8,No,No
508,Ole Miss,2015,13.2,11.1,15,6.6,77.3,42.3,33.2,1.5,3.8,4.4,61.8,35.8,72.8,68.4,6.5,2.6,40.4,Yes,Yes
509,Louisiana,2017,14.3,13.3,19,7.1,69.5,46.7,34.3,1.7,2.8,5.6,63.6,36.0,81.9,76.3,7.0,5.9,47.3,No,No
510,Louisiana,2018,17.4,13.4,9,7.5,76.1,46.4,36.3,1.5,4.3,12.4,79.4,33.6,83.2,70.8,8.7,6.6,43.4,No,No
511,Mississippi,2010,13.9,12.1,17,7.4,66.3,45.1,35.9,2.0,5.3,7.7,68.6,33.4,78.4,70.7,8.2,1.7,40.9,No,No
512,UC Davis,2016,11.4,14.2,15,6.2,63.9,43.3,35.4,-0.7,1.6,-2.2,36.7,31.0,63.8,66.0,5.5,-0.8,41.3,No,No
513,UC Davis,2017,12.8,14.3,20,5.6,67.4,43.5,34.8,-0.3,3.3,0.5,63.9,32.9,70.1,69.6,6.1,1.1,42.6,No,No
514,UC Davis,2018,12.2,13.0,14,7.0,71.6,46.4,37.2,2.4,2.3,4.4,66.7,32.4,72.3,67.9,6.5,-2.1,42.5,No,No
515,UC Davis,2010,13.9,15.1,22,7.7,70.4,44.2,35.7,0.5,2.8,-1.2,43.8,35.5,69.5,70.7,6.6,-1.8,46.5,No,No
516,UC Davis,2011,15.0,14.1,13,6.5,72.8,46.0,37.8,-0.3,2.6,-1.9,33.3,34.8,71.2,73.1,8.0,-5.4,46.0,No,No
517,UC Davis,2012,12.0,15.5,17,4.9,68.4,41.0,36.9,-4.2,2.3,-12.4,16.1,35.8,62.1,74.4,7.7,-5.7,46.5,No,No
518,UC Davis,2013,14.8,14.0,14,4.6,71.9,47.3,40.5,-3.4,2.8,-0.9,45.2,36.8,71.3,72.2,8.3,-0.6,43.1,No,No
519,UC Davis,2015,13.3,13.3,8,5.2,73.4,49.0,44.7,-1.5,2.0,6.1,78.1,34.2,70.7,64.6,8.6,-0.7,41.5,No,No
520,Connecticut,2011,13.0,11.4,9,6.3,76.3,43.4,32.9,0.1,5.6,7.5,78.0,32.7,72.4,64.9,5.7,4.4,39.3,Yes,Yes
521,Connecticut,2012,13.4,12.3,6,5.9,66.2,45.2,33.2,-1.4,6.9,4.2,58.8,34.4,68.7,64.5,5.4,2.6,38.6,Yes,Yes
522,Connecticut,2013,13.7,12.2,10,7.5,74.3,44.2,34.0,1.3,4.5,4.5,66.7,31.5,69.9,65.4,6.4,-3.5,40.4,No,No
523,George Mason,2016,10.3,12.7,13,2.9,67.1,40.6,29.2,-5.8,3.7,-5.4,34.4,35.3,66.9,72.3,5.4,7.9,42.3,No,No
524,George Mason,2017,11.7,12.9,7,5.0,74.7,44.8,33.6,-2.8,2.8,2.4,58.8,33.0,74.1,71.7,5.4,7.3,42.5,No,No
525,George Mason,2018,11.5,12.9,9,6.1,74.2,43.2,32.6,-1.5,2.9,-3.8,48.5,35.3,71.8,75.7,7.0,1.2,45.1,No,No
526,George Mason,2010,11.8,13.7,12,6.6,64.2,43.9,4.0,-0.5,4.0,-0.5,53.1,34.0,67.0,67.5,5.2,-1.2,42.7,No,No
527,George Mason,2011,14.2,11.1,9,6.6,68.9,47.1,4.0,2.3,3.2,10.3,79.4,32.6,72.8,62.5,6.7,2.1,41.2,No,No
528,George Mason,2013,12.4,13.6,23,7.4,72.5,43.6,34.5,0.9,2.7,2.2,57.9,33.3,68.1,65.9,5.3,1.2,41.3,No,No
529,George Mason,2015,10.2,14.4,15,6.0,66.6,42.6,32.0,-2.1,3.9,-4.9,29.0,34.6,64.4,69.3,4.2,3.1,43.3,No,No
530,UT Martin,2016,12.1,12.2,10,5.8,70.9,44.4,34.7,-0.2,2.0,1.7,57.1,34.0,73.0,71.3,7.8,1.9,43.1,No,No
531,UT Martin,2017,15.9,15.1,8,6.5,68.8,46.8,35.3,-1.5,3.5,1.8,62.9,35.0,76.9,75.1,8.2,4.5,44.4,No,No
532,UT Martin,2018,12.6,14.5,13,6.9,72.5,44.7,32.3,-0.9,3.4,-3.8,32.3,35.7,68.9,72.7,6.8,-0.7,42.5,No,No
533,UT Martin,2010,10.8,15.7,13,7.1,67.1,38.1,31.1,-1.5,3.3,-12.2,13.8,37.5,64.1,76.4,5.2,-1.6,46.9,No,No
534,UT Martin,2011,11.0,15.3,22,6.7,74.0,42.3,32.6,0.0,2.6,-5.8,36.4,32.9,68.6,74.4,5.5,-3.3,47.5,No,No
535,UT Martin,2013,12.3,15.1,19,6.9,74.2,39.4,33.4,-0.9,2.5,-9.6,30.0,35.0,66.9,76.5,5.6,-0.9,46.1,No,No
536,UT Martin,2015,13.0,11.6,16,5.2,70.8,46.5,39.4,-1.2,1.9,4.9,61.8,34.7,70.3,65.4,7.9,4.1,43.3,No,No
537,UCF,2016,12.6,14.7,7,4.6,68.7,43.0,31.8,-5.4,4.7,-2.8,40.0,32.3,68.7,71.6,6.9,2.5,41.5,No,No
538,UCF,2017,11.1,14.6,10,4.0,66.1,43.5,35.2,-4.8,4.0,5.9,66.7,31.3,67.1,61.2,7.3,8.2,36.5,No,No
539,UCF,2018,10.6,13.5,5,5.3,64.1,42.4,32.9,-1.2,3.5,1.0,59.4,33.1,62.7,61.7,5.5,0.7,40.1,No,No
540,UCF,2011,12.3,13.8,6,6.1,69.0,45.4,33.5,-0.8,5.8,5.8,63.6,35.3,68.8,63.0,5.9,2.2,41.0,No,No
541,UCF,2012,11.4,12.6,10,6.3,62.6,43.2,30.1,-0.2,4.3,2.1,66.7,31.3,65.6,63.5,5.4,2.8,42.1,No,No
542,UCF,2013,13.9,13.8,7,7.5,64.4,45.3,35.7,-1.1,4.5,3.7,64.5,31.4,70.8,67.1,7.1,2.4,42.7,No,No
543,UCF,2015,12.3,13.0,6,5.2,64.3,43.4,35.0,-2.6,4.3,-5.7,40.0,35.3,66.0,71.7,6.7,-3.5,45.6,No,No
544,Villanova,2016,15.9,11.0,11,7.1,78.2,48.3,36.2,2.9,3.4,14.4,87.5,33.9,78.0,63.6,8.7,1.6,40.3,No,No
545,Villanova,2017,14.0,11.2,3,7.2,79.0,49.5,36.9,2.0,3.0,14.5,88.9,31.1,77.2,62.7,8.6,3.7,41.9,No,No
546,Villanova,2018,16.4,10.6,8,6.5,77.9,50.0,40.1,2.2,4.1,16.4,90.0,31.7,86.6,70.2,11.6,3.2,42.8,No,No
547,Villanova,2010,13.6,13.7,25,7.8,75.5,45.8,37.3,1.6,4.0,9.0,75.8,33.6,81.8,72.8,7.6,4.7,40.9,No,No
548,Villanova,2011,13.6,11.9,12,6.3,75.7,43.8,34.8,0.2,3.8,6.8,63.6,32.0,72.2,65.4,6.4,4.5,40.5,No,No
549,Villanova,2012,12.3,14.0,22,5.6,75.4,41.2,31.5,-2.2,3.2,0.3,40.6,34.0,70.8,70.6,6.1,4.2,41.4,No,No
550,Villanova,2013,12.1,15.7,14,7.7,71.9,41.6,33.1,-0.4,3.4,2.7,58.8,37.1,67.9,65.1,6.0,3.2,40.4,No,No
551,Villanova,2015,15.8,10.6,7,7.7,73.1,47.0,38.9,3.5,4.1,15.6,91.7,30.5,76.5,60.9,9.1,2.0,40.6,No,No
552,Massachusetts,2016,13.8,12.8,25,6.5,69.9,42.9,33.0,-0.3,3.5,-2.3,43.8,31.3,73.5,75.8,7.3,-3.2,42.7,No,No
553,Massachusetts,2017,16.0,14.8,14,7.6,66.0,43.7,29.7,-0.5,5.1,0.0,45.5,34.5,71.8,71.9,7.1,-1.1,41.3,No,No
554,Massachusetts,2018,15.3,12.8,10,4.8,74.6,44.9,40.0,-1.5,3.0,-2.8,39.4,34.7,71.9,74.7,8.9,-1.5,45.6,No,No
555,Massachusetts,2010,11.9,13.9,16,5.5,66.4,40.2,30.1,-1.6,3.9,-4.2,37.5,36.9,70.7,74.9,7.1,2.8,43.9,No,No
556,Massachusetts,2011,11.2,13.7,18,6.4,66.2,40.1,29.0,0.0,3.8,-1.7,50.0,33.3,66.3,68.0,5.5,1.0,40.2,No,No
557,Massachusetts,2012,15.3,14.8,25,8.8,67.3,43.4,34.9,1.8,4.8,4.5,67.6,30.7,76.9,72.4,7.8,0.3,40.8,No,No
558,Massachusetts,2013,14.6,14.4,21,7.5,71.9,43.4,33.6,-0.9,5.2,1.3,63.6,32.4,73.0,71.7,7.1,0.3,42.2,No,No
559,Massachusetts,2015,13.4,14.1,8,6.8,70.4,43.2,29.5,-2.0,4.2,-1.1,53.1,35.0,69.4,70.5,4.5,2.2,43.5,No,No
560,Texas Southern,2016,14.3,13.2,14,4.4,63.1,45.8,33.8,-2.4,3.0,2.2,54.5,33.5,72.8,70.6,6.7,5.1,43.8,No,No
561,Texas Southern,2017,11.7,11.6,19,7.2,73.5,42.9,29.5,1.7,3.1,1.5,65.7,32.6,74.1,72.6,5.9,-2.7,44.5,No,No
562,Texas Southern,2018,12.2,12.6,27,5.8,72.5,43.8,35.9,-0.8,4.0,-2.0,44.4,36.6,77.4,79.4,7.8,-2.1,45.2,No,No
563,Texas Southern,2011,12.3,16.5,16,8.1,63.2,42.6,30.1,-0.3,3.5,-1.1,59.4,32.7,64.3,65.4,5.8,-1.0,41.7,No,No
564,Texas Southern,2012,10.0,17.0,11,8.4,63.0,41.3,32.9,-0.9,4.2,-1.6,45.5,33.1,61.2,62.8,5.5,0.3,40.5,No,No
565,Texas Southern,2013,14.1,11.8,7,5.1,63.6,44.0,35.6,-0.2,4.6,5.2,54.8,31.7,70.3,65.1,8.9,-0.6,40.9,No,No
566,Texas Southern,2015,10.7,13.0,11,6.1,66.1,44.5,32.2,-0.7,3.1,0.1,62.9,34.4,68.3,68.2,5.3,0.0,44.5,No,No
567,Saint Louis,2016,13.3,13.6,11,5.5,70.3,41.9,32.8,-0.7,2.1,-6.2,34.4,32.8,65.8,72.0,6.2,-4.7,43.3,No,No
568,Saint Louis,2017,12.8,13.4,16,5.0,66.3,40.4,34.2,-2.2,2.9,-7.9,36.4,35.6,61.4,69.3,7.0,-2.6,43.9,No,No
569,Saint Louis,2018,11.9,12.7,14,6.0,65.2,42.2,32.3,-0.7,4.4,0.4,51.5,35.0,65.8,65.4,5.6,4.1,42.8,No,No
570,Saint Louis,2011,13.6,13.4,18,6.4,65.6,43.7,32.6,0.5,3.5,0.6,38.7,33.7,63.0,62.4,5.5,-1.5,43.4,No,No
571,Saint Louis,2012,13.5,11.2,10,6.9,72.0,44.9,35.9,3.5,2.9,11.1,76.5,31.5,68.7,57.6,7.0,1.6,41.4,No,No
572,Saint Louis,2013,12.9,11.5,13,7.6,70.4,44.6,34.0,3.9,3.1,10.1,80.0,33.1,68.2,58.2,6.0,-0.2,41.1,No,No
573,Saint Louis,2015,12.2,13.8,12,5.3,65.5,41.1,32.6,-0.2,2.3,-6.6,34.4,35.7,59.8,66.3,5.4,-3.7,45.4,No,No
574,Fairleigh Dickinson,2016,14.3,12.8,23,7.6,69.7,45.8,36.2,2.6,2.6,-1.3,54.5,35.4,77.5,78.8,7.2,-5.4,45.7,Yes,Yes
575,Fairleigh Dickinson,2017,12.2,13.3,22,6.3,76.5,44.0,33.2,0.4,2.6,-2.2,36.7,34.2,72.8,75.0,6.7,-3.9,45.1,No,No
576,Fairleigh Dickinson,2018,13.4,13.7,18,7.1,72.6,45.1,34.2,0.8,3.2,-1.2,41.9,35.5,74.6,75.8,6.9,-2.5,43.9,No,No
577,Fairleigh Dickinson,2011,11.7,15.1,17,5.7,67.5,39.7,32.1,-4.0,3.5,-8.3,17.2,36.7,64.3,72.7,5.2,0.3,43.6,No,No
578,Fairleigh Dickinson,2013,13.0,15.7,16,5.8,67.1,43.2,35.0,-3.5,3.3,-13.4,22.6,36.3,65.6,79.0,6.1,-7.9,46.7,No,No
579,Fairleigh Dickinson,2015,11.2,12.8,24,8.7,69.3,41.1,33.1,3.1,3.2,-6.0,27.6,34.8,67.4,73.4,7.2,-9.6,46.0,No,No
580,Illinois St.,2016,12.6,12.7,20,6.4,66.8,41.4,33.7,1.1,3.6,1.1,56.3,32.0,67.2,66.1,7.4,0.3,42.1,No,No
581,Illinois St.,2017,13.8,12.2,11,7.1,66.4,43.9,36.9,0.6,4.9,7.8,80.0,32.8,69.1,61.3,8.4,2.5,37.9,No,No
582,Illinois St.,2018,14.2,13.3,21,6.5,68.3,42.4,34.1,-0.4,4.0,-1.6,54.5,31.1,71.6,73.3,9.1,-3.5,42.6,No,No
583,Illinois St.,2010,13.1,13.0,9,7.3,70.0,44.7,32.7,0.5,3.5,5.1,66.7,34.2,69.2,64.1,5.8,4.1,42.3,No,No
584,Illinois St.,2012,13.1,12.1,10,5.1,75.4,43.9,37.9,-0.9,3.4,3.7,60.0,35.8,69.7,66.0,8.5,2.3,41.5,No,No
585,Illinois St.,2013,14.8,13.1,11,7.2,72.3,45.5,34.7,1.6,4.4,5.9,54.5,33.4,74.5,68.6,7.3,-1.0,42.4,No,No
586,Illinois St.,2015,11.7,12.8,22,7.3,71.4,43.5,34.4,0.7,4.3,6.1,62.9,32.4,68.1,62.0,6.1,4.2,41.4,No,No
587,Jacksonville,2016,12.6,11.4,15,6.5,67.8,43.6,38.9,1.5,2.7,0.4,50.0,35.5,76.4,76.0,8.7,0.6,44.6,No,No
588,Jacksonville,2017,13.5,12.8,25,8.0,73.6,46.6,40.3,1.8,1.9,2.4,51.5,37.5,77.5,75.1,9.9,-0.7,47.5,No,No
589,Jacksonville,2018,12.6,14.3,5,6.8,65.8,45.0,33.6,-0.2,3.4,-2.3,45.5,31.3,72.9,75.2,6.1,-1.2,44.4,No,No
590,Jacksonville,2010,11.9,14.6,12,8.5,70.6,41.9,33.3,1.7,4.2,2.3,60.6,34.0,69.8,67.5,5.3,3.2,43.2,No,No
591,Jacksonville,2012,12.1,15.0,18,7.3,65.7,41.8,31.9,-0.8,3.5,-7.4,26.7,35.6,65.0,72.4,5.0,-0.3,46.7,No,No
592,Jacksonville,2013,12.9,15.3,12,6.7,70.3,42.3,32.4,-0.6,3.3,-3.7,43.8,33.8,68.2,71.9,5.2,0.5,44.2,No,No
593,Jacksonville,2015,10.7,12.3,9,6.5,66.1,41.0,35.9,0.9,2.5,-7.7,31.3,35.8,64.3,72.0,6.3,-4.2,46.6,No,No
594,Quinnipiac,2016,12.6,15.3,14,4.9,64.7,36.8,34.1,-3.0,4.7,-5.4,30.0,31.0,65.6,71.0,7.6,5.7,41.5,No,No
595,Quinnipiac,2017,14.4,14.5,14,5.7,68.3,42.2,32.6,-1.7,3.6,-6.6,32.3,38.0,76.7,83.3,7.4,1.5,46.4,No,No
596,Quinnipiac,2018,12.2,13.5,15,5.5,70.6,42.2,33.9,-2.1,2.6,-5.1,36.4,39.6,71.6,76.7,9.2,-1.2,46.3,No,No
597,Quinnipiac,2011,15.6,12.5,12,5.0,61.1,42.8,34.4,0.7,3.5,4.3,68.8,33.6,71.7,67.4,5.5,9.3,41.9,No,No
598,Quinnipiac,2015,13.9,13.9,10,3.6,77.3,39.4,30.7,-4.3,5.8,2.2,50.0,35.1,69.7,67.5,5.5,12.4,39.8,No,No
599,Hawaii,2016,15.4,13.0,15,7.6,68.4,45.9,32.2,1.6,3.6,10.4,82.4,30.3,77.1,66.7,7.0,4.3,40.0,Yes,Yes
600,Hawaii,2017,13.9,13.8,10,5.0,71.5,42.3,32.5,0.3,1.9,-0.2,46.7,33.9,68.1,68.3,7.1,-1.1,44.9,No,No
601,Hawaii,2018,14.3,13.4,14,5.6,68.7,44.2,33.0,0.7,2.0,1.1,56.7,33.2,70.1,69.0,6.7,1.0,44.1,No,No
602,Hawaii,2010,13.8,14.3,11,4.4,66.0,43.1,31.3,-3.3,2.0,-4.8,33.3,34.3,68.1,72.9,5.0,3.5,45.2,No,No
603,Hawaii,2011,11.9,15.9,20,5.5,68.5,45.1,35.7,-2.8,4.2,2.0,59.4,32.5,69.3,67.2,6.0,2.0,38.9,No,No
604,Hawaii,2012,14.8,15.2,24,5.7,66.7,46.1,32.3,-2.4,3.3,-1.0,50.0,34.3,73.6,74.6,5.1,1.8,42.9,No,No
605,Hawaii,2013,13.9,14.4,5,5.3,68.7,45.1,34.3,-2.5,3.4,1.0,53.1,36.8,73.0,72.0,6.1,5.7,42.2,No,No
606,Hawaii,2015,13.3,13.3,20,9.6,68.6,43.8,32.2,3.3,4.0,4.7,62.9,34.0,72.9,68.2,6.5,-1.1,41.3,No,No
607,SIU Edwardsville,2013,12.6,14.4,8,5.5,66.9,42.6,36.3,-0.1,2.1,-4.7,33.3,32.5,62.9,67.7,5.9,-2.2,46.2,No,No
608,South Ala.,2016,10.6,14.6,21,6.7,67.3,40.9,32.3,-1.5,4.0,-4.3,42.4,31.9,69.2,73.5,6.5,-1.0,42.2,No,No
609,South Ala.,2017,12.8,13.1,17,7.5,65.5,42.7,31.8,3.2,3.7,-1.2,43.8,34.8,71.4,72.6,7.0,-3.3,44.2,No,No
610,South Ala.,2010,11.7,14.4,8,6.0,70.9,41.7,34.5,-0.1,3.6,-1.7,53.1,33.8,66.4,68.0,5.0,0.3,40.8,No,No
611,South Ala.,2011,12.2,14.1,10,7.0,66.5,42.3,33.3,0.5,4.9,-2.6,42.9,37.8,70.3,72.9,5.6,0.1,45.7,No,No
612,South Ala.,2013,10.7,15.8,9,6.6,71.7,41.0,32.4,-1.1,5.0,0.7,56.7,33.1,68.7,68.0,5.7,2.6,42.2,No,No
613,South Ala.,2015,10.7,14.4,12,4.8,70.3,42.0,33.4,-3.5,3.7,-4.9,36.4,34.5,68.9,73.9,6.5,-1.0,44.0,No,No
614,Boston U.,2016,13.5,13.8,18,6.0,71.7,45.4,36.4,-1.7,3.8,0.6,55.9,33.2,73.0,72.5,8.0,0.9,43.5,No,No
615,Boston U.,2017,14.0,14.3,15,8.3,69.6,44.3,35.4,0.4,2.5,2.3,56.3,36.3,73.1,70.8,8.6,0.1,42.5,No,No
616,Boston U.,2010,11.4,13.6,20,7.3,72.4,41.0,36.4,1.0,3.3,3.8,60.0,32.2,72.2,68.4,8.6,-0.8,41.1,No,No
617,Boston U.,2011,9.9,11.9,11,5.4,72.9,40.2,35.5,-0.6,3.7,1.4,60.0,32.4,64.9,63.5,7.6,0.4,39.9,No,No
618,Boston U.,2012,11.6,13.6,10,5.8,67.4,42.2,31.9,-0.6,3.1,0.3,50.0,32.9,63.9,63.6,6.3,0.3,41.5,No,No
619,Boston U.,2013,13.6,12.5,5,7.4,72.7,44.9,37.0,1.7,1.8,3.3,56.7,31.1,67.8,64.5,8.0,-2.8,42.3,No,No
620,Boston U.,2015,12.3,12.3,11,5.7,69.6,44.6,36.8,-1.6,1.9,-1.6,43.3,37.0,67.9,69.5,7.7,0.8,45.1,No,No
621,UNCG,2016,12.9,12.0,15,6.1,67.9,44.6,36.3,0.2,2.5,-0.7,44.1,37.0,72.6,73.4,8.7,-0.8,43.8,No,No
622,UNCG,2017,15.0,13.5,17,7.0,70.6,46.4,38.2,0.3,3.8,5.8,71.4,35.9,75.1,69.3,8.8,3.5,42.8,No,No
623,UNCG,2015,12.1,12.5,29,6.2,64.9,44.2,36.1,0.2,3.3,-1.4,33.3,35.2,69.4,70.8,6.5,0.5,44.0,No,No
624,Alabama,2016,10.5,13.3,23,5.8,64.3,42.2,33.9,-1.1,5.3,-1.5,54.5,32.9,66.5,67.9,7.8,-3.6,40.9,No,No
